Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei Darussalam,10536,13668,35874,38679,16423,16932,19078,18262,23695,23455,17279,19278,2701,144,4798
Malaysia,1009722,1041053,1171737,1173351,1269089,1380686,1418256,1431728,1541197,2121888,2503344,2980753,980118,480723,1212574
Filipina,195675,196429,171181,210029,236866,247573,248182,267700,298910,308977,217874,260980,50413,9375,78436
Singapura,1197267,1138071,1206360,1324839,1324706,1432060,1559044,1594102,1515699,1554119,1768744,1934445,280492,18704,736797
Thailand,66012,93381,111645,115036,114867,125059,114272,118579,124569,138235,124153,136699,21303,3992,61128
Vietnam,19710,20785,24929,31106,33598,43249,48018,49845,60986,77466,75816,96024,19608,2008,68067
Myanmar,17487,18128,15582,22304,29718,31001,33559,39923,44720,48133,28612,46381,12669,3093,22637
Hong Kong,58260,63801,73658,84985,81782,95258,94560,93529,101369,98272,91182,50324,2625,2432,7086
India,155391,156545,159373,181791,196983,231266,267082,306960,422045,536902,595636,657300,111724,6670,281814
Jepang,559888,488320,416151,423113,463486,497399,505175,528606,545392,573310,530573,519623,92228,5952,73913
Korea Selatan,331409,260314,296060,320596,328989,351154,352004,375586,386789,423191,358885,388316,75562,9497,122221
Pakistan,7273,5880,5772,6598,5330,6281,7057,7570,10100,11424,13448,14663,4110,974,5247
Bangladesh,6155,6347,5557,6394,5998,8132,13891,15790,39028,56503,56564,59777,12866,1001,9593
Sri Lanka,6774,6715,6195,7019,8786,8288,8760,11190,24258,35669,32508,28907,4300,620,3447
Taiwan,218146,204794,214192,228922,217708,247146,220328,223478,252849,264278,208317,207490,35680,1398,25750
Tionghoa,354641,444598,511188,594997,726088,858140,1052705,1249091,1556771,2093171,2139161,2072079,239768,54713,169378
Timor Leste,0,0,0,0,0,0,0,0,0,960026,1762422,1178381,994590,819488,703780
Saudi Arabia,42647,73000,94440,110908,92667,121890,151454,164643,197681,182086,165912,157512,31906,2053,47472
Bahrain,891,746,832,879,981,1176,1608,1685,2243,2457,2324,2631,373,35,894
Kuwait,2160,5875,2729,4164,4738,7919,9281,8306,6368,5760,5551,5762,846,75,2216
Mesir,3744,3316,3650,4469,6115,8091,10695,12972,19948,20345,18075,21354,4337,611,7326
Uni Emirat Arab,2960,3871,4970,4720,6154,9891,12054,10315,9016,8387,7100,9065,1093,384,5456
Yaman,3831,3522,5597,6729,5025,6851,7863,8715,9478,8453,10008,9221,2094,758,3208
Qatar,1155,6579,5076,4501,1265,1332,1648,1595,1856,1859,2104,1989,225,43,840
Austria,16855,17399,16889,17374,19120,21645,20599,22458,24375,27208,29492,28476,4858,2103,17708
Belgia,22854,25781,24493,24579,28243,34414,33601,38193,43607,48477,50050,46780,5902,798,21120
Denmark,18434,20062,17565,19950,21168,22890,22577,27692,36380,43721,46825,45090,10533,557,20913
Perancis,129446,165656,160913,171736,184273,201917,208537,208679,256229,274117,287917,283814,43438,3776,134541
Jerman,142767,133032,144411,149110,158212,173470,184463,201202,243873,267823,74166,277653,46361,3429,128634
Italia,40006,38028,39211,42256,46651,56705,62265,67892,79424,90022,94288,91229,13260,2339,47415
Belanda,141202,154932,158957,163268,152749,161402,168494,172371,200811,210426,209978,215287,53495,12229,115052
Spanyol,30278,28200,30574,30657,34991,39383,47376,53115,68840,81690,85560,83373,11829,3255,51563
Portugal,11368,11331,11629,13661,15406,18194,17675,22032,29286,33223,36804,35434,6245,476,14393
Swedia,21806,22166,24603,26504,26097,29281,32308,37555,45934,51417,50381,56402,17600,3516,19885
Swiss,34024,39510,35334,38704,37756,43906,45567,51685,56700,61191,60293,57484,8362,782,23192
Inggris,184604,183262,192335,201221,219726,236794,244594,286806,352017,378131,392112,397624,69997,5177,170881
Finlandia,9819,15591,11566,13137,15035,15074,15332,18564,21031,24447,27127,22665,6376,240,5480
Norwegia,16468,16261,16226,17803,17118,18174,17253,18526,19478,22838,24906,23886,5072,336,10069
Eropa Barat,22956,12243,18020,16553,21707,23392,25867,28053,35324,40211,35203,35272,6269,374,18468
Rusia,74483,77018,83836,96438,99448,99872,94345,72302,88520,117532,125728,158943,67491,8392,75578
Eropa Timur,72484,67933,61981,67920,76379,88584,96699,112340,165316,201741,180081,216452,64091,8127,85518
Amerika Serikat,174547,165098,177677,203205,217599,236375,246397,269062,316782,344766,387856,457832,91782,21962,188764
Kanada,45408,43948,48349,57129,58245,65385,68432,74212,86807,96139,97908,103616,23200,1242,36042
Amerika Tengah,9618,4587,881,1044,1800,1533,1835,3028,2538,7542,2629,2786,529,87,717
Amerika Selatan,20395,24037,21364,26193,28154,32752,36547,43750,55256,71915,62868,65630,15142,1450,27434
Australia,418899,571541,769585,933376,952717,983911,1145576,1090025,1302292,1256927,1301478,1386803,256291,3196,655370
Selandia Baru,36291,37704,45335,52458,59606,67852,79380,86609,105393,106914,128366,149010,19947,482,44125
Papua Nugini,0,0,0,0,0,0,0,0,0,141299,142648,78433,20975,31703,22509
Afrika Selatan,14958,12999,14287,16282,17433,16928,17375,22482,29223,38073,41962,47657,7350,572,13267
