Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei Darussalam,10536.0,13668.0,35874.0,38679.0,16423.0,16932.0,19078.0,18262.0,23695.0,23455.0,17279.0,19278.0,2701.0,144.0,4798.0
Malaysia,1009722.0,1041053.0,1171737.0,1173351.0,1269089.0,1380686.0,1418256.0,1431728.0,1541197.0,2121888.0,2503344.0,2980753.0,980118.0,480723.0,1212574.0
Filipina,195675.0,196429.0,171181.0,210029.0,236866.0,247573.0,248182.0,267700.0,298910.0,308977.0,217874.0,260980.0,50413.0,9375.0,78436.0
Singapura,1197267.0,1138071.0,1206360.0,1324839.0,1324706.0,1432060.0,1559044.0,1594102.0,1515699.0,1554119.0,1768744.0,1934445.0,280492.0,18704.0,736797.0
Thailand,66012.0,93381.0,111645.0,115036.0,114867.0,125059.0,114272.0,118579.0,124569.0,138235.0,124153.0,136699.0,21303.0,3992.0,61128.0
Vietnam,19710.0,20785.0,24929.0,31106.0,33598.0,43249.0,48018.0,49845.0,60986.0,77466.0,75816.0,96024.0,19608.0,2008.0,68067.0
Myanmar,17487.0,18128.0,15582.0,22304.0,29718.0,31001.0,33559.0,39923.0,44720.0,48133.0,28612.0,46381.0,12669.0,3093.0,22637.0
Hong Kong,58260.0,63801.0,73658.0,84985.0,81782.0,95258.0,94560.0,93529.0,101369.0,98272.0,91182.0,50324.0,2625.0,2432.0,7086.0
India,155391.0,156545.0,159373.0,181791.0,196983.0,231266.0,267082.0,306960.0,422045.0,536902.0,595636.0,657300.0,111724.0,6670.0,281814.0
Jepang,559888.0,488320.0,416151.0,423113.0,463486.0,497399.0,505175.0,528606.0,545392.0,573310.0,530573.0,519623.0,92228.0,5952.0,73913.0
Korea Selatan,331409.0,260314.0,296060.0,320596.0,328989.0,351154.0,352004.0,375586.0,386789.0,423191.0,358885.0,388316.0,75562.0,9497.0,122221.0
Pakistan,7273.0,5880.0,5772.0,6598.0,5330.0,6281.0,7057.0,7570.0,10100.0,11424.0,13448.0,14663.0,4110.0,974.0,5247.0
Bangladesh,6155.0,6347.0,5557.0,6394.0,5998.0,8132.0,13891.0,15790.0,39028.0,56503.0,56564.0,59777.0,12866.0,1001.0,9593.0
Sri Lanka,6774.0,6715.0,6195.0,7019.0,8786.0,8288.0,8760.0,11190.0,24258.0,35669.0,32508.0,28907.0,4300.0,620.0,3447.0
Taiwan,218146.0,204794.0,214192.0,228922.0,217708.0,247146.0,220328.0,223478.0,252849.0,264278.0,208317.0,207490.0,35680.0,1398.0,25750.0
Tionghoa,354641.0,444598.0,511188.0,594997.0,726088.0,858140.0,1052705.0,1249091.0,1556771.0,2093171.0,2139161.0,2072079.0,239768.0,54713.0,169378.0
Saudi Arabia,42647.0,73000.0,94440.0,110908.0,92667.0,121890.0,151454.0,164643.0,197681.0,182086.0,165912.0,157512.0,31906.0,2053.0,47472.0
Bahrain,891.0,746.0,832.0,879.0,981.0,1176.0,1608.0,1685.0,2243.0,2457.0,2324.0,2631.0,373.0,35.0,894.0
Kuwait,2160.0,5875.0,2729.0,4164.0,4738.0,7919.0,9281.0,8306.0,6368.0,5760.0,5551.0,5762.0,846.0,75.0,2216.0
Mesir,3744.0,3316.0,3650.0,4469.0,6115.0,8091.0,10695.0,12972.0,19948.0,20345.0,18075.0,21354.0,4337.0,611.0,7326.0
Uni Emirat Arab,2960.0,3871.0,4970.0,4720.0,6154.0,9891.0,12054.0,10315.0,9016.0,8387.0,7100.0,9065.0,1093.0,384.0,5456.0
Yaman,3831.0,3522.0,5597.0,6729.0,5025.0,6851.0,7863.0,8715.0,9478.0,8453.0,10008.0,9221.0,2094.0,758.0,3208.0
Qatar,1155.0,6579.0,5076.0,4501.0,1265.0,1332.0,1648.0,1595.0,1856.0,1859.0,2104.0,1989.0,225.0,43.0,840.0
Austria,16855.0,17399.0,16889.0,17374.0,19120.0,21645.0,20599.0,22458.0,24375.0,27208.0,29492.0,28476.0,4858.0,2103.0,17708.0
Belgia,22854.0,25781.0,24493.0,24579.0,28243.0,34414.0,33601.0,38193.0,43607.0,48477.0,50050.0,46780.0,5902.0,798.0,21120.0
Denmark,18434.0,20062.0,17565.0,19950.0,21168.0,22890.0,22577.0,27692.0,36380.0,43721.0,46825.0,45090.0,10533.0,557.0,20913.0
Perancis,129446.0,165656.0,160913.0,171736.0,184273.0,201917.0,208537.0,208679.0,256229.0,274117.0,287917.0,283814.0,43438.0,3776.0,134541.0
Jerman,142767.0,133032.0,144411.0,149110.0,158212.0,173470.0,184463.0,201202.0,243873.0,267823.0,74166.0,277653.0,46361.0,3429.0,128634.0
Italia,40006.0,38028.0,39211.0,42256.0,46651.0,56705.0,62265.0,67892.0,79424.0,90022.0,94288.0,91229.0,13260.0,2339.0,47415.0
Belanda,141202.0,154932.0,158957.0,163268.0,152749.0,161402.0,168494.0,172371.0,200811.0,210426.0,209978.0,215287.0,53495.0,12229.0,115052.0
Spanyol,30278.0,28200.0,30574.0,30657.0,34991.0,39383.0,47376.0,53115.0,68840.0,81690.0,85560.0,83373.0,11829.0,3255.0,51563.0
Portugal,11368.0,11331.0,11629.0,13661.0,15406.0,18194.0,17675.0,22032.0,29286.0,33223.0,36804.0,35434.0,6245.0,476.0,14393.0
Swedia,21806.0,22166.0,24603.0,26504.0,26097.0,29281.0,32308.0,37555.0,45934.0,51417.0,50381.0,56402.0,17600.0,3516.0,19885.0
Swiss,34024.0,39510.0,35334.0,38704.0,37756.0,43906.0,45567.0,51685.0,56700.0,61191.0,60293.0,57484.0,8362.0,782.0,23192.0
Inggris,184604.0,183262.0,192335.0,201221.0,219726.0,236794.0,244594.0,286806.0,352017.0,378131.0,392112.0,397624.0,69997.0,5177.0,170881.0
Finlandia,9819.0,15591.0,11566.0,13137.0,15035.0,15074.0,15332.0,18564.0,21031.0,24447.0,27127.0,22665.0,6376.0,240.0,5480.0
Norwegia,16468.0,16261.0,16226.0,17803.0,17118.0,18174.0,17253.0,18526.0,19478.0,22838.0,24906.0,23886.0,5072.0,336.0,10069.0
Eropa Barat,22956.0,12243.0,18020.0,16553.0,21707.0,23392.0,25867.0,28053.0,35324.0,40211.0,35203.0,35272.0,6269.0,374.0,18468.0
Rusia,74483.0,77018.0,83836.0,96438.0,99448.0,99872.0,94345.0,72302.0,88520.0,117532.0,125728.0,158943.0,67491.0,8392.0,75578.0
Eropa Timur,72484.0,67933.0,61981.0,67920.0,76379.0,88584.0,96699.0,112340.0,165316.0,201741.0,180081.0,216452.0,64091.0,8127.0,85518.0
Amerika Serikat,174547.0,165098.0,177677.0,203205.0,217599.0,236375.0,246397.0,269062.0,316782.0,344766.0,387856.0,457832.0,91782.0,21962.0,188764.0
Kanada,45408.0,43948.0,48349.0,57129.0,58245.0,65385.0,68432.0,74212.0,86807.0,96139.0,97908.0,103616.0,23200.0,1242.0,36042.0
Amerika Tengah,9618.0,4587.0,881.0,1044.0,1800.0,1533.0,1835.0,3028.0,2538.0,7542.0,2629.0,2786.0,529.0,87.0,717.0
Amerika Selatan,20395.0,24037.0,21364.0,26193.0,28154.0,32752.0,36547.0,43750.0,55256.0,71915.0,62868.0,65630.0,15142.0,1450.0,27434.0
Australia,418899.0,571541.0,769585.0,933376.0,952717.0,983911.0,1145576.0,1090025.0,1302292.0,1256927.0,1301478.0,1386803.0,256291.0,3196.0,655370.0
Selandia Baru,36291.0,37704.0,45335.0,52458.0,59606.0,67852.0,79380.0,86609.0,105393.0,106914.0,128366.0,149010.0,19947.0,482.0,44125.0
Afrika Selatan,14958.0,12999.0,14287.0,16282.0,17433.0,16928.0,17375.0,22482.0,29223.0,38073.0,41962.0,47657.0,7350.0,572.0,13267.0
