No,Country,Tahun,Jumlah
1,Brunei Darussalam,2008,10536
2,Malaysia,2008,1009722
3,Filipina,2008,195675
4,Singapura,2008,1197267
5,Thailand,2008,66012
6,Vietnam,2008,19710
7,Myanmar,2008,17487
8,Hong Kong,2008,58260
9,India,2008,155391
10,Jepang,2008,559888
11,Korea Selatan,2008,331409
12,Pakistan,2008,7273
13,Bangladesh,2008,6155
14,Sri Lanka,2008,6774
15,Taiwan,2008,218146
16,Tionghoa,2008,354641
17,Saudi Arabia,2008,42647
18,Bahrain,2008,891
19,Kuwait,2008,2160
20,Mesir,2008,3744
21,Uni Emirat Arab,2008,2960
22,Yaman,2008,3831
23,Qatar,2008,1155
24,Austria,2008,16855
25,Belgia,2008,22854
26,Denmark,2008,18434
27,Perancis,2008,129446
28,Jerman,2008,142767
29,Italia,2008,40006
30,Belanda,2008,141202
31,Spanyol,2008,30278
32,Portugal,2008,11368
33,Swedia,2008,21806
34,Swiss,2008,34024
35,Inggris,2008,184604
36,Finlandia,2008,9819
37,Norwegia,2008,16468
38,Eropa Barat,2008,22956
39,Rusia,2008,74483
40,Eropa Timur,2008,72484
41,Amerika Serikat,2008,174547
42,Kanada,2008,45408
43,Amerika Tengah,2008,9618
44,Amerika Selatan,2008,20395
45,Australia,2008,418899
46,Selandia Baru,2008,36291
47,Afrika Selatan,2008,14958
48,Brunei Darussalam,2009,13668
49,Malaysia,2009,1041053
50,Filipina,2009,196429
51,Singapura,2009,1138071
52,Thailand,2009,93381
53,Vietnam,2009,20785
54,Myanmar,2009,18128
55,Hong Kong,2009,63801
56,India,2009,156545
57,Jepang,2009,488320
58,Korea Selatan,2009,260314
59,Pakistan,2009,5880
60,Bangladesh,2009,6347
61,Sri Lanka,2009,6715
62,Taiwan,2009,204794
63,Tionghoa,2009,444598
64,Saudi Arabia,2009,73000
65,Bahrain,2009,746
66,Kuwait,2009,5875
67,Mesir,2009,3316
68,Uni Emirat Arab,2009,3871
69,Yaman,2009,3522
70,Qatar,2009,6579
71,Austria,2009,17399
72,Belgia,2009,25781
73,Denmark,2009,20062
74,Perancis,2009,165656
75,Jerman,2009,133032
76,Italia,2009,38028
77,Belanda,2009,154932
78,Spanyol,2009,28200
79,Portugal,2009,11331
80,Swedia,2009,22166
81,Swiss,2009,39510
82,Inggris,2009,183262
83,Finlandia,2009,15591
84,Norwegia,2009,16261
85,Eropa Barat,2009,12243
86,Rusia,2009,77018
87,Eropa Timur,2009,67933
88,Amerika Serikat,2009,165098
89,Kanada,2009,43948
90,Amerika Tengah,2009,4587
91,Amerika Selatan,2009,24037
92,Australia,2009,571541
93,Selandia Baru,2009,37704
94,Afrika Selatan,2009,12999
95,Brunei Darussalam,2010,35874
96,Malaysia,2010,1171737
97,Filipina,2010,171181
98,Singapura,2010,1206360
99,Thailand,2010,111645
10,Vietnam,2010,24929
101,Myanmar,2010,15582
102,Hong Kong,2010,73658
103,India,2010,159373
104,Jepang,2010,416151
105,Korea Selatan,2010,296060
106,Pakistan,2010,5772
107,Bangladesh,2010,5557
108,Sri Lanka,2010,6195
